t,x_x,x_y,x_z,y_x_obs,y_z_obs
0.76,-8.025060369,-9.599401807,25.05994492,-11.37442626,24.0873291
0.77,-8.1815586,-9.736496051,25.17371275,-8.289123702,28.70957258
0.78,-8.33587995,-9.866394225,25.31021082,-8.075330907,27.27568984
0.79,-8.487438499,-9.986859009,25.46831915,-9.486029696,23.09843161
0.8,-8.635491999,-10.09567556,25.64664612,-10.56572552,24.19619399
0.81,-8.779160605,-10.19068801,25.8435099,-4.52222114,24.20073654
0.82,-8.917447586,-10.26984172,26.05692694,-7.240469179,24.25107259
0.83,-9.049262322,-10.3312304,26.28460914,-7.186116297,27.05451107
0.84,-9.17344579,-10.37314673,26.52397101,-9.486721585,26.44244595
0.85,-9.288798523,-10.39413455,26.77214817,-10.59837391,27.66429257
0.86,-9.394110866,-10.3930403,27.02602781,-10.30407783,24.57481629
0.87,-9.48819511,-10.3690611,27.28229147,-12.04407026,27.62746731
0.88,-9.569918852,-10.32178657,27.53746956,-6.411736339,27.85745279
0.89,-9.638238747,-10.25123136,27.78800654,-9.875515399,28.35965882
0.9,-9.692233589,-10.15785603,28.03033466,-7.080230105,28.46909966
0.91,-9.731135568,-10.04257381,28.26095351,-10.55299003,30.47353093
0.92,-9.754358454,-9.906741831,28.47651212,-8.896845577,31.5480241
0.93,-9.761521485,-9.752136336,28.6738896,-9.39505261,26.22495153
0.94,-9.752467856,-9.580912098,28.85027067,-12.48878625,32.15212653
0.95,-9.727276884,-9.395547647,29.00321218,-6.279945442,28.64417375
0.96,-9.686269208,-9.198778668,29.13069731,-10.45264385,32.05358589
0.97,-9.630004711,-8.993522825,29.23117496,-11.84409608,27.44172093
0.98,-9.559273225,-8.782799803,29.30358283,-8.272619636,28.51437259
0.99,-9.475078444,-8.569650591,29.34735342,-9.485322177,29.02046763
1,-9.378615807,-8.357059955,29.36240375,-8.70346671,32.17736747
1.01,-9.271245414,-8.147885652,29.34911016,-9.0900756,30.63698775
1.02,-9.154461224,-7.944797299,29.30827057,-13.25480543,29.21083377
1.03,-9.029857925,-7.750226982,29.24105703,-10.71631847,26.80343091
1.04,-8.899096878,-7.566332799,29.14896168,-10.65540161,28.4807148
1.05,-8.76387247,-7.394975636,29.03373941,-6.932067385,26.38095397
1.06,-8.625880083,-7.237708655,28.89734998,-8.564617097,27.92901111
1.07,-8.486786678,-7.095778324,28.7419023,-9.142132867,30.74741795
1.08,-8.348204775,-6.970135328,28.5696029,-7.271973901,31.24439911
1.09,-8.211670338,-6.861453387,28.38270994,-8.520681696,26.99082472
1.1,-8.078624858,-6.77015392,28.18349393,-8.526342492,28.66848751
1.11,-7.950401693,-6.69643449,27.97420525,-7.597254976,25.80542911
1.12,-7.828216509,-6.64029915,27.75704875,-7.647236946,28.21350541
1.13,-7.713161551,-6.601589041,27.53416484,-2.678213476,31.28785406
1.14,-7.606203327,-6.580011848,27.30761653,-9.312690028,26.73284981
1.15,-7.508183206,-6.575169081,27.07938167,-10.43506721,25.89796764
1.16,-7.419820432,-6.586580371,26.85134944,-6.788610425,29.26305668
1.17,-7.341716985,-6.613704295,26.6253204,-8.799884661,25.31702752
